Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_APITest,,,,21-10-2025 15:51:29,21-10-2025 15:51:37,7.838s,PASSED
,,,,,,,
Test Cases/TC01 API_AddObject,,,,21-10-2025 15:51:30,21-10-2025 15:51:37,7.075s,PASSED
"DATA BINDING - {""getName"":""Apple MacBook Pro 16"",""year"":""2019"",""namaTC"":""TC01"",""name"":""Apple MacBook Pro 16""}",,,,,,,
variable = [:],,,,21-10-2025 15:51:31,21-10-2025 15:51:31,0.003s,PASSED
"variable.put(""namaTC"", namaTC)",,,,21-10-2025 15:51:31,21-10-2025 15:51:31,0.011s,PASSED
"variable.put(""name"", name)",,,,21-10-2025 15:51:31,21-10-2025 15:51:31,0.003s,PASSED
"variable.put(""year"", year)",,,,21-10-2025 15:51:31,21-10-2025 15:51:31,0.002s,PASSED
"comment(""Nama Test Case: "" + namaTC)",,,,21-10-2025 15:51:31,21-10-2025 15:51:31,0.101s,PASSED
"request = findTestObject(""API_TestObject/AddObjectAPI"", variable)",,,,21-10-2025 15:51:31,21-10-2025 15:51:31,0.073s,PASSED
response = sendRequest(request),,,,21-10-2025 15:51:31,21-10-2025 15:51:32,1.316s,PASSED
bodyResponse = response.getResponseBodyContent(),,,,21-10-2025 15:51:32,21-10-2025 15:51:32,0.008s,PASSED
comment(bodyResponse),,,,21-10-2025 15:51:32,21-10-2025 15:51:32,0.003s,PASSED
"mii.ProductNameComparator.compareNameProduct(bodyResponse, getName)",,,,21-10-2025 15:51:32,21-10-2025 15:51:32,0.096s,PASSED
delay(5),,,,21-10-2025 15:51:32,21-10-2025 15:51:37,5.021s,PASSED
